total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year,total_debt,total_liabilities,total_debt_lag,debt_to_assets,leverage,st_debt_share,implied_rate,icr,roa,current_ratio,altman_z,country,source
812667400.0,277157268.0,395909.0,257935294.0,519650232.0,105043995.0,26090094.0,131134089.0,389562153.0,644837341.0,52330217.0,59209533.0,38116603.0,14213614.0,51666541.0,ACSEL,2023,131134089.0,293017168.0,73817587.0,0.16136255619457604,0.3605622275484411,0.8010426259185741,0.3719569777999766,1.372898235448736,0.06439315395203499,1.0745224653125602,7.262725226587449,TR,yahoo
1060829868.0,386502230.0,7827537.0,263640271.0,631727640.0,176356777.0,140190911.0,316547688.0,459670307.0,890026295.0,68235002.0,93850341.0,89656847.0,-21421845.0,-47323751.0,ACSEL,2024,316547688.0,429102228.0,131134089.0,0.29839628157980935,0.40449674442989947,0.5571254622463078,0.400538291287206,0.7610684993194106,0.06432228584272855,1.4660212134283537,7.400419484065539,TR,yahoo
941305617.0,283195952.0,25744152.0,238692607.0,575012082.0,120009874.0,73948096.0,193957970.0,392496700.0,685775803.0,17288914.0,55620589.0,58717919.0,-41429005.0,-67173607.0,ACSEL,2025,193957970.0,366293535.0,316547688.0,0.20605206905930956,0.3891334847946626,0.618741647997244,0.2300382692330513,0.2944401691074917,0.01836695084759066,1.1864462647559084,6.691198460571223,TR,yahoo
,,,,,,,,,,,,,,,ADEL,2021,,,,,,,,,,,,TR,yahoo
1906116000.0,1156436000.0,481745000.0,1001884000.0,692684000.0,814319000.0,11534000.0,877167000.0,108138000.0,1675122000.0,269712000.0,370244000.0,281663000.0,-11951000.0,-19427000.0,ADEL,2022,825853000.0,1213432000.0,,0.43326481704156516,0.6365992415991472,0.9860338341084914,0.3410570646349895,0.9575698618561899,0.14149820892327644,1.1542613715759509,5.517102968750759,TR,yahoo
3798883000.0,2639716000.0,1146378000.0,2036566000.0,1603807000.0,1503594000.0,0.0,1606502000.0,753185000.0,3265499000.0,1096007000.0,1253495000.0,458142000.0,637865000.0,629443000.0,ADEL,2023,1503594000.0,2195076000.0,825853000.0,0.3957989756462623,0.5778214280355568,1.0,0.39334829253466597,2.392286670944816,0.28850770081626625,1.2961603012129241,7.643819120033414,TR,yahoo
3719862000.0,2346027000.0,863017000.0,1082197000.0,1896738000.0,594227000.0,549746000.0,1318899000.0,750201000.0,3549764000.0,850838000.0,1067788000.0,750997000.0,99841000.0,24404000.0,ADEL,2024,1143973000.0,1823124000.0,1503594000.0,0.307531032065168,0.49010527809902626,0.5194414553490336,0.5673110444419348,1.1329446056375725,0.22872837755809222,2.1678372791645146,8.765682280987829,TR,yahoo
3176331000.0,1808469000.0,395699000.0,1880512000.0,1215657000.0,1632545000.0,0.0,1684353000.0,63870000.0,2099613000.0,91784000.0,261258000.0,748005000.0,-656221000.0,-502366000.0,ADEL,2025,1632545000.0,1960674000.0,1143973000.0,0.51397193806313,0.6172763480884077,1.0,0.5388079601861036,0.12270506213193762,0.028896232791859537,0.9616896887656128,4.011967384677341,TR,yahoo
,,,,,,33652000.0,,,,,,,,,ADESE,2021,33652000.0,,,,,,,,,,,TR,yahoo
7506361000.0,1155756000.0,643592000.0,208317000.0,6583168000.0,51958000.0,14169000.0,67172000.0,2851212000.0,265729000.0,891680000.0,900830000.0,16192000.0,875488000.0,715842000.0,ADESE,2022,66127000.0,923193000.0,33652000.0,0.008809461735186997,0.12298808970152116,0.7857304883028112,0.32455727157017006,55.069169960474305,0.11878991697841337,5.548063768199427,13.601947957552719,TR,yahoo
