firm,country,ticker,n_obs,beta_rate,beta_fx,r2,beta_rate_z,beta_fx_z
TR_ACSEL,TR,ACSEL,8,-0.004806037036789061,0.1660251511314055,0.0343488114865127,-0.4471355058627622,-0.4112515715812966
TR_ADESE,TR,ADESE,6,0.025236290769361184,0.5025523168121998,0.6772090357806284,1.4561126183847874,0.40894680524240923
TR_AEFES,TR,AEFES,6,-0.008954734989000563,0.5502402732466635,0.2366757239777899,-0.7099647262402765,0.5251739287866851
TR_AGHOL,TR,AGHOL,10,0.006743292486908725,0.6913724651963647,0.23090278805536668,0.28454014504317965,0.8691473328966967
TR_AKENR,TR,AKENR,7,0.00974550694715252,0.7601812688203532,0.8820456571662965,0.4747370923941807,1.0368510870034555
TR_AKFGY,TR,AKFGY,7,0.02074881961698336,0.11997859024494026,0.7762785195068209,1.1718213641088913,-0.5234782158136856
TR_AKSUE,TR,AKSUE,8,0.018652721111742175,0.24928013540073865,0.7160230925420372,1.039028872991686,-0.20833896920030168
TR_AKYHO,TR,AKYHO,6,-0.03284850079061922,-0.42279046441365187,0.8483918193785428,-2.2236878051100564,-1.8463381303187125
TR_ALCTL,TR,ALCTL,6,-0.011381540357602573,0.07768728503259706,0.10268178395127969,-0.863708230921698,-0.6265523905797776
TR_ALKA,TR,ALKA,6,0.006601311159155531,0.81354338116024,0.7147357571592448,0.2755453129027381,1.1669075055886173
TR_ARCLK,TR,ARCLK,7,-0.007825151798290965,0.39946221329665355,0.7593502530178131,-0.6384031247967464,0.1576912033388141
TR_ARENA,TR,ARENA,6,0.011498649691228211,0.31493274739459093,0.3857184871732863,0.5858025750934668,-0.0483276200937314
TR_ARSAN,TR,ARSAN,6,-0.01269055826426421,1.168239114781134,0.7705788701496304,-0.9466374197494086,2.0313870919352883
TR_ATAGY,TR,ATAGY,7,0.004210005922816988,0.2188586671068582,0.7313020053679531,0.12405082036767733,-0.2824834706248967
TR_AVOD,TR,AVOD,7,-0.042017015741871486,1.1784896058695582,0.9022137054850833,-2.8045335703151797,2.0563700264789624
TR_AYCES,TR,AYCES,7,-0.0020034295522959847,0.883085435360686,0.37610032151629025,-0.2695841033122712,1.336398369307757
TR_AYEN,TR,AYEN,7,-0.034200863527206964,0.07562967390361851,0.528344325925991,-2.309362985086822,-0.6315672882766946
TR_BANVT,TR,BANVT,7,-0.012764140300110041,0.4543139381957822,0.5945805431061026,-0.9512990049836002,0.29137816925502014
TR_BERA,TR,BERA,6,0.025798066107958942,0.6014659844982317,0.9081923073067741,1.4917023325485423,0.6500234194219487
TR_BEYAZ,TR,BEYAZ,10,-0.0045979427224931355,-0.08174844456024521,0.07865793179671698,-0.43395226933375985,-1.0151359581357788
TR_BIMAS,TR,BIMAS,6,0.009007986724231988,0.8498488125452232,0.18360369045885727,0.4280135498669343,1.2553926530851272
TR_BJKAS,TR,BJKAS,6,0.017338080419084072,0.34975860415547033,0.8405633605889007,0.955743468195297,0.0365514449558404
TR_BLCYT,TR,BLCYT,9,0.02079564984593427,0.5361353056255207,0.7698415950206097,1.1747881630195487,0.49079669946373167
TR_BLUME,TR,BLUME,7,0.011200268908903565,0.5201661420106195,0.2094816942925637,0.5668994904877978,0.45187597206962327
TR_BNTAS,TR,BNTAS,9,-0.0008716264383263219,0.04407819685569632,0.028957132135641328,-0.19788186480466424,-0.7084658952843758
TR_BRISA,TR,BRISA,10,0.0024079329565106374,0.1309560848956761,0.8864439217407658,0.009885499524009736,-0.49672339714723435
TR_BRKO,TR,BRKO,11,-1.0945919512934767e-05,0.10406559171831854,0.05834666758142637,-0.1433558442653158,-0.5622620552565708
TR_BRKSN,TR,BRKSN,11,0.008178529981740363,0.4308502678262254,0.48015273319571494,0.375465624836688,0.23419151000715632
TR_BRMEN,TR,BRMEN,8,0.0013879839631798594,0.8224063063678783,0.7308288506012226,-0.054730532259904666,1.188508605323044
TR_BRSAN,TR,BRSAN,11,1.3883577700522054e-05,0.11034191096872055,0.2896732136775535,-0.14178284052531112,-0.5469651420008667
TR_BSOKE,TR,BSOKE,10,0.01097512914337313,0.2816510445442297,0.4663193765061522,0.5526363868027494,-0.12944320730218803
TR_BTCIM,TR,BTCIM,11,0.012135260250103804,0.3193428950839952,0.4626075319753158,0.6261332665057385,-0.03757901984600808
TR_BUCIM,TR,BUCIM,10,0.007407415573345161,0.3445116134807712,0.2882329663267573,0.32661381612105383,0.023763255253855347
TR_BURCE,TR,BURCE,11,0.0023812224803254566,0.2958495048485656,0.16998007306065543,0.008193331592642015,-0.09483811361991965
TR_BURVA,TR,BURVA,11,0.004845410504163646,-0.0851546243294794,0.06222382516219227,0.1643051104276757,-1.0234376449022657
TR_CCOLA,TR,CCOLA,7,0.01969776782745945,0.39463297857808427,0.2952783104342901,1.1052349011754534,0.14592118628994302
TR_CELHA,TR,CELHA,10,0.0025227419760312647,0.1832604576397746,0.06754346081975582,0.017158905648171692,-0.3692449466670032
TR_CEMAS,TR,CEMAS,6,0.01850198889268415,0.3550575099744933,0.8133627267427037,1.0294796524706606,0.04946616446418105
TR_CEMTS,TR,CEMTS,6,-0.04220470347215109,0.9566106248799462,0.7161422534577786,-2.816424004468748,1.5155971004929651
TR_CLEBI,TR,CLEBI,8,0.010863492402926282,-0.3973770113758449,0.6855984322879092,0.5455639515965442,-1.784399377502347
TR_DARDL,TR,DARDL,11,0.02152652950234007,0.7050698393117631,0.6946920506429287,1.2210910109240398,0.9025311579245195
TR_DENGE,TR,DENGE,6,0.009210851381083851,-0.11311114289797836,0.5098367518761138,0.4408654759933242,-1.091574465610744
TR_DERIM,TR,DERIM,10,0.00028415834017541254,0.4188456342243187,0.4136021875632998,-0.12466033463858421,0.20493330443338534
TR_DESA,TR,DESA,6,-0.042000142087480374,1.3446550919625286,0.8043363857727509,-2.8034645868703447,2.461355643916011
TR_DEVA,TR,DEVA,8,0.002926771190468163,-0.002765872027224142,0.13179396578398295,0.04275505284022832,-0.8226362600567492
