total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year
,,,,,,,,,,,,,,,PCO,2021
15171280000.0,4972032000.0,954814000.0,6065195000.0,8653393000.0,331808000.0,312861000.0,755332000.0,1077742000.0,33634155000.0,2048536000.0,2553567000.0,121883000.0,1926653000.0,1558360000.0,DNP,2025
13055794000.0,4439416000.0,891022000.0,5382849000.0,7085151000.0,565879000.0,442219000.0,1086816000.0,1031871000.0,29273792000.0,1913898000.0,2323077000.0,120335000.0,1793563000.0,1504980000.0,DNP,2024
10377715000.0,3253165000.0,218389000.0,3879293000.0,5605311000.0,283372000.0,839629000.0,1173178000.0,935859000.0,25666255000.0,1885815000.0,2242643000.0,146834000.0,1738981000.0,1405327000.0,DNP,2023
9003059000.0,2706706000.0,382718000.0,3690127000.0,4203783000.0,410157000.0,690862000.0,1153585000.0,674457000.0,19801622000.0,1542259000.0,1842388000.0,140641000.0,1401618000.0,1132087000.0,DNP,2022
,,,,,,,,,,,,,,,DNP,2021
105368000000.0,29423000000.0,10568000000.0,32702000000.0,41823000000.0,1606000000.0,11563000000.0,14875000000.0,-4037000000.0,61434000000.0,-1998000000.0,11885000000.0,1246000000.0,-3244000000.0,-3497000000.0,PGE,2025
103994000000.0,27692000000.0,4156000000.0,34716000000.0,44471000000.0,2599000000.0,9046000000.0,13192000000.0,3577000000.0,64483000000.0,1031000000.0,13310000000.0,1338000000.0,-307000000.0,-2698000000.0,PGE,2024
113443000000.0,35103000000.0,6033000000.0,42675000000.0,46409000000.0,4394000000.0,9017000000.0,14897000000.0,175000000.0,95964000000.0,-2844000000.0,10611000000.0,1211000000.0,-4055000000.0,-5012000000.0,PGE,2023
105778000000.0,34046000000.0,10798000000.0,35296000000.0,53538000000.0,2083000000.0,5854000000.0,8936000000.0,9333000000.0,73435000000.0,4762000000.0,9124000000.0,652000000.0,4110000000.0,3328000000.0,PGE,2022
,,,,,,,,,,,,,,,PGE,2021
23063500000.0,12461100000.0,7246000000.0,7134400000.0,7425700000.0,1139600000.0,1323000000.0,3308600000.0,3650200000.0,16779800000.0,1619700000.0,2360400000.0,201100000.0,1418600000.0,1138700000.0,ACP,2025
20329300000.0,9464400000.0,3299300000.0,6979500000.0,5494600000.0,1187600000.0,1748200000.0,3912800000.0,2729100000.0,15020100000.0,1518100000.0,2229800000.0,202700000.0,1315400000.0,519900000.0,ACP,2024
18793500000.0,8619600000.0,2987100000.0,6033800000.0,5302900000.0,1100600000.0,2241800000.0,4097100000.0,2454500000.0,16896500000.0,1712700000.0,2591600000.0,187000000.0,1525700000.0,482700000.0,ACP,2023
20084200000.0,9370000000.0,3636000000.0,6294200000.0,6549500000.0,1141900000.0,2021800000.0,3963700000.0,2257400000.0,17370100000.0,1867600000.0,2760500000.0,124800000.0,1742800000.0,502300000.0,ACP,2022
,,,,,,,,,,,,,,,ACP,2021
27008000000.0,3832000000.0,518000000.0,7521000000.0,13524000000.0,2713000000.0,1550000000.0,7260000000.0,8763000000.0,13133000000.0,1389000000.0,4109000000.0,460000000.0,929000000.0,762000000.0,OPL,2025
26598000000.0,3791000000.0,546000000.0,4856000000.0,13639000000.0,12000000.0,4067000000.0,7068000000.0,8694000000.0,12732000000.0,1445000000.0,4034000000.0,317000000.0,1128000000.0,913000000.0,OPL,2024
26826000000.0,4070000000.0,796000000.0,6216000000.0,13444000000.0,1508000000.0,2694000000.0,7153000000.0,8408000000.0,12970000000.0,1297000000.0,3868000000.0,289000000.0,1008000000.0,818000000.0,OPL,2023
26766000000.0,4507000000.0,1026000000.0,5245000000.0,13451000000.0,778000000.0,4191000000.0,7745000000.0,8047000000.0,12488000000.0,1153000000.0,3694000000.0,286000000.0,867000000.0,724000000.0,OPL,2022
,,,,,,,,,,,,,,,OPL,2021
8155329000.0,5687796000.0,2899626000.0,5496886000.0,1336069000.0,18751000.0,210423000.0,440907000.0,1051289000.0,9438558000.0,968374000.0,1160518000.0,25098000.0,943276000.0,748014000.0,BDX,2025
7657871000.0,5542347000.0,3205374000.0,5351428000.0,1232294000.0,6906000.0,81836000.0,261031000.0,952505000.0,9117843000.0,855936000.0,1015210000.0,16190000.0,839746000.0,615922000.0,BDX,2024
8418241000.0,6416465000.0,3900290000.0,5751735000.0,1530815000.0,6363000.0,68305000.0,236591000.0,1247742000.0,9801515000.0,942875000.0,1100190000.0,13263000.0,929612000.0,738196000.0,BDX,2023
7387208000.0,5569074000.0,3249369000.0,5058744000.0,1258384000.0,4885000.0,31536000.0,225141000.0,968832000.0,8619054000.0,659910000.0,812297000.0,10976000.0,648934000.0,534443000.0,BDX,2022
,,,,,,,,,,,,,,,BDX,2021
11956218000.0,9156571000.0,537494000.0,3735937000.0,5776024000.0,1587251000.0,1385221000.0,4083926000.0,2216751000.0,21216209000.0,1174601000.0,1435773000.0,169542000.0,1005059000.0,806420000.0,CAR,2025
10765893000.0,8546316000.0,448804000.0,3692672000.0,5111652000.0,1538891000.0,1047010000.0,3572415000.0,1813066000.0,19473078000.0,1063921000.0,1270746000.0,169825000.0,894096000.0,721480000.0,CAR,2024
9271136000.0,7550897000.0,362900000.0,3143903000.0,4437468000.0,1190424000.0,929207000.0,2932621000.0,1505956000.0,18030310000.0,1042765000.0,1225198000.0,173583000.0,869182000.0,700297000.0,CAR,2023
8034046000.0,6583805000.0,342365000.0,2821493000.0,3815725000.0,1158567000.0,728874000.0,2665196000.0,1407777000.0,15285101000.0,1053615000.0,1208591000.0,127815000.0,925800000.0,745698000.0,CAR,2022
,,,,,,,,,,,,,,,CAR,2021
48717000000.0,6604000000.0,248000000.0,11538000000.0,20783000000.0,,,13118000000.0,9116000000.0,34358000000.0,4943000000.0,7430000000.0,690000000.0,4253000000.0,3313000000.0,TPE,2025
45714000000.0,7645000000.0,325000000.0,12153000000.0,17713000000.0,,,14615000000.0,6376000000.0,35399000000.0,2605000000.0,4954000000.0,719000000.0,1886000000.0,585000000.0,TPE,2024
49138000000.0,11779000000.0,692000000.0,13571000000.0,17320000000.0,,,17415000000.0,5201000000.0,50035000000.0,2464000000.0,4690000000.0,842000000.0,1622000000.0,1123000000.0,TPE,2023
45276000000.0,10223000000.0,1678000000.0,10206000000.0,16536000000.0,,,16487000000.0,4254000000.0,36795000000.0,740000000.0,2800000000.0,630000000.0,110000000.0,-134000000.0,TPE,2022
,,,,,,,,,,,,,,,TPE,2021
40269000000.0,7008000000.0,1174000000.0,9638000000.0,12822000000.0,2444000000.0,12203000000.0,15829000000.0,5231000000.0,21741000000.0,2261000000.0,3739000000.0,787000000.0,1474000000.0,1243000000.0,ENG,2025
35673000000.0,7630000000.0,989000000.0,8827000000.0,11680000000.0,223000000.0,10844000000.0,12114000000.0,4383000000.0,22753000000.0,1433000000.0,2712000000.0,706000000.0,727000000.0,376000000.0,ENG,2024
31695000000.0,8350000000.0,521000000.0,13166000000.0,11330000000.0,2590000000.0,3354000000.0,6847000000.0,4076000000.0,26087000000.0,1176000000.0,1176000000.0,611000000.0,1098000000.0,606000000.0,ENG,2023
