total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year,retained_earnings
59390832000.0,13818844000.0,6736171000.0,7163343000.0,6651853000.0,1813049000.0,37891188000.0,41562440000.0,19645264000.0,5360483000.0,9324037000.0,3090803000.0,2269680000.0,1831011000.0,KLBN3,2024,0.0
55434690000.0,16497088000.0,9558829000.0,5875741000.0,11585122000.0,1560843000.0,29780401000.0,33264538000.0,18023749000.0,5898451000.0,9225033000.0,2084394000.0,3814057000.0,2694538000.0,KLBN3,2023,
47639430000.0,12515679000.0,4683945000.0,6461750000.0,9559484000.0,1952980000.0,25013211000.0,28611079000.0,20032699000.0,7756211000.0,10925366000.0,1157057000.0,6599154000.0,4461250000.0,KLBN3,2022,
,,,,,,,,,,,,,,KLBN3,2021,1624044000.0
33553574000.0,12084606000.0,8871892000.0,10039250000.0,6680126000.0,1650923000.0,7535494000.0,9321031000.0,18025121000.0,3780084000.0,5056078000.0,1331743000.0,2448341000.0,1649647000.0,CMIN3,2025,
36390919000.0,17832106000.0,15185928000.0,7545988000.0,10269114000.0,1340018000.0,8788702000.0,10251048000.0,16496317000.0,6965171000.0,8115647000.0,1216045000.0,5749126000.0,4527719000.0,CMIN3,2024,
29690605000.0,12987583000.0,9795878000.0,6069785000.0,10698697000.0,445182000.0,7733799000.0,8178981000.0,18880426000.0,5674315000.0,6716444000.0,867757000.0,4806558000.0,3568737000.0,CMIN3,2023,
25053595000.0,9617117000.0,6489572000.0,4642823000.0,11393427000.0,1045990000.0,7350418000.0,8396408000.0,13272564000.0,4419280000.0,5419549000.0,438878000.0,3980402000.0,2950298000.0,CMIN3,2022,
,,,,,,,,,,,,,,CMIN3,2021,
17737247000.0,2533931000.0,503654000.0,1841630000.0,8578303000.0,749653000.0,6832383000.0,7679028000.0,8330190000.0,2273442000.0,3219881000.0,524297000.0,1749145000.0,1415744000.0,CSMG3,2025,
