total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year
5546166000.0,1377422000.0,755165000.0,2602978000.0,-732801000.0,184401000.0,2936961000.0,2936961000.0,-3212155000.0,3811999000.0,346026000.0,799571000.0,285774000.0,60252000.0,-64248000.0,AERO,2022
,,,,,,,,,,,,,,,AERO,2021
11071000000.0,3772000000.0,1040000000.0,2487000000.0,2135000000.0,669000000.0,4543000000.0,5709000000.0,-354000000.0,7619000000.0,327000000.0,976000000.0,395000000.0,-68000000.0,-457000000.0,ORBIA,2025
11057000000.0,3610000000.0,1009000000.0,2628000000.0,2433000000.0,943000000.0,4078000000.0,5478000000.0,197000000.0,7506000000.0,492000000.0,1151000000.0,396000000.0,96000000.0,145000000.0,ORBIA,2024
11552000000.0,4170000000.0,1456000000.0,2537000000.0,2614000000.0,847000000.0,4420000000.0,5756000000.0,168000000.0,8204000000.0,874000000.0,1484000000.0,389000000.0,485000000.0,65000000.0,ORBIA,2023
11624000000.0,4584000000.0,1546000000.0,3045000000.0,2668000000.0,1227000000.0,3936000000.0,5532000000.0,445000000.0,9648000000.0,1320000000.0,1901000000.0,285000000.0,1035000000.0,567000000.0,ORBIA,2022
,,,,,,,,,,,,,,,ORBIA,2021
80296803000.0,12540398000.0,5696451000.0,34078060000.0,8748497000.0,14178813000.0,19810637000.0,50894610000.0,5285399000.0,85356430000.0,8447429000.0,18124462000.0,4614488000.0,3832941000.0,2232257000.0,ALSEA,2025
82322925000.0,13337808000.0,6467932000.0,24743822000.0,9278290000.0,3043001000.0,30013261000.0,50342800000.0,3482322000.0,79342257000.0,5943148000.0,14629271000.0,4574018000.0,1369130000.0,767576000.0,ALSEA,2024
77433590000.0,13011502000.0,6409798000.0,23147851000.0,8656463000.0,1738217000.0,24381903000.0,44536980000.0,3692763000.0,75192314000.0,9093519000.0,17029464000.0,4715797000.0,4377722000.0,2982351000.0,ALSEA,2023
78922643000.0,12134741000.0,6086817000.0,21538631000.0,8344017000.0,1277638000.0,26511200000.0,49613276000.0,777481000.0,67243519000.0,6397343000.0,13981183000.0,3913944000.0,2483399000.0,1737928000.0,ALSEA,2022
,,,,,,,,,,,,,,,ALSEA,2021
45623602000.0,13260348000.0,1007791000.0,7683940000.0,18406942000.0,1132925000.0,14906513000.0,17135887000.0,22393350000.0,35218162000.0,4520924000.0,5993090000.0,1524640000.0,2996284000.0,2008560000.0,LAMOSA,2025
47145276000.0,13727270000.0,694574000.0,9594564000.0,18155602000.0,1414368000.0,14920043000.0,17418187000.0,21069728000.0,33945445000.0,2179867000.0,3739702000.0,1478648000.0,701219000.0,131330000.0,LAMOSA,2024
43816458000.0,12666281000.0,1280236000.0,8023530000.0,16124749000.0,1449863000.0,14345923000.0,16615884000.0,21559612000.0,31571854000.0,5927861000.0,7077794000.0,975934000.0,4951927000.0,3250574000.0,LAMOSA,2023
36050758000.0,11783859000.0,2037110000.0,7789091000.0,15873350000.0,918204000.0,9393669000.0,11203089000.0,18817531000.0,35411914000.0,6905275000.0,8215185000.0,777173000.0,6128102000.0,4201156000.0,LAMOSA,2022
,,,,,,,,,,,,,,,LAMOSA,2021
110346980000.0,6179281000.0,1349860000.0,10287467000.0,6158836000.0,1431290000.0,51307977000.0,77987332000.0,-27974444000.0,16417697000.0,10401084000.0,18899011000.0,6455416000.0,3945668000.0,2228132000.0,LASITE,2025
117383864000.0,6124618000.0,1345759000.0,9094550000.0,10168409000.0,1610564000.0,55120870000.0,81543607000.0,-31494012000.0,15233457000.0,4231202000.0,12788759000.0,6626968000.0,-2395766000.0,-4160419000.0,LASITE,2024
97763090000.0,5949862000.0,1567346000.0,7712161000.0,789540000.0,3042351000.0,50113920000.0,73327789000.0,-28613753000.0,13131474000.0,5504915000.0,13359512000.0,6139014000.0,-634099000.0,-1993517000.0,LASITE,2023
90786590000.0,7912659000.0,4106942000.0,7334471000.0,3717169000.0,338884000.0,49969862000.0,63408027000.0,-27801934000.0,,,,,,,LASITE,2022
,,,,,,,,,12137011000.0,3039513000.0,9551757000.0,4657334000.0,-1617821000.0,-1100118000.0,LASITE,2021
55269245000.0,14752479000.0,3936931000.0,10075238000.0,28297761000.0,2254910000.0,7078939000.0,15741588000.0,23131819000.0,35421338000.0,4802260000.0,6721020000.0,1776352000.0,3025908000.0,2030199000.0,GIGANTE,2025
54845577000.0,15051078000.0,3190446000.0,9021840000.0,26982233000.0,633538000.0,9321120000.0,16568353000.0,21350176000.0,34678157000.0,4406735000.0,6359955000.0,1910815000.0,2495920000.0,1635758000.0,GIGANTE,2024
52418929000.0,14345123000.0,2994915000.0,8102252000.0,25276364000.0,464416000.0,9965056000.0,16400321000.0,19984140000.0,33466067000.0,4885819000.0,6813997000.0,1887552000.0,2998267000.0,1905937000.0,GIGANTE,2023
49677489000.0,13456912000.0,2439223000.0,9234810000.0,23644161000.0,1374583000.0,9156280000.0,15517009000.0,18055509000.0,31817907000.0,4217182000.0,5767842000.0,1666500000.0,2550682000.0,1820124000.0,GIGANTE,2022
,,,,,,,,,,,,,,,GIGANTE,2021
35810588000.0,15027168000.0,2305742000.0,12513761000.0,4227018000.0,2887245000.0,6981353000.0,10365723000.0,591662000.0,38592566000.0,6791344000.0,7832387000.0,979969000.0,5811375000.0,1786383000.0,HERDEZ,2025
40202718000.0,14782034000.0,3061419000.0,11292960000.0,7892823000.0,1000000000.0,8474352000.0,10503981000.0,4354070000.0,37424879000.0,5967287000.0,7217022000.0,1082278000.0,4885009000.0,1359893000.0,HERDEZ,2024
37726524000.0,14002557000.0,1767755000.0,9401209000.0,7091768000.0,0.0,9473210000.0,10450575000.0,4274476000.0,36212816000.0,6139641000.0,7332376000.0,1074280000.0,5065361000.0,1320423000.0,HERDEZ,2023
37554019000.0,14022872000.0,2047529000.0,10048658000.0,6796547000.0,2000000000.0,8468709000.0,11274330000.0,3219915000.0,31645704000.0,4580615000.0,5692276000.0,1050324000.0,3530291000.0,776620000.0,HERDEZ,2022
,,,,,,,,,,,,,,,HERDEZ,2021
13078674000.0,3967682000.0,861364000.0,2299038000.0,5637249000.0,478457000.0,4061464000.0,5139392000.0,4467923000.0,10692816000.0,568239000.0,1226426000.0,569245000.0,-1006000.0,12838000.0,AGUA,2025
14952179000.0,5088262000.0,732009000.0,2987184000.0,6674998000.0,684240000.0,3999246000.0,5357160000.0,4452245000.0,11200727000.0,708842000.0,1334561000.0,588627000.0,120215000.0,51611000.0,AGUA,2024
12551683000.0,3637655000.0,565692000.0,1698638000.0,5945925000.0,28650000.0,3998942000.0,4210001000.0,4400634000.0,12146209000.0,853482000.0,1373312000.0,514240000.0,339242000.0,323676000.0,AGUA,2023
12566994000.0,4521946000.0,672638000.0,1504598000.0,6323504000.0,10572000.0,3998640000.0,4227761000.0,4076958000.0,12774279000.0,1331591000.0,1728906000.0,514455000.0,817136000.0,768852000.0,AGUA,2022
,,,,,,,,,,,,,,,AGUA,2021
25640052000.0,17617938000.0,2049078000.0,4335921000.0,16223523000.0,1527962000.0,854234000.0,2656543000.0,15197175000.0,8254606000.0,1090848000.0,1250805000.0,104101000.0,986747000.0,905208000.0,ARA,2025
24281560000.0,16568376000.0,2287006000.0,2528619000.0,15520254000.0,282570000.0,2139223000.0,2673423000.0,14497039000.0,7118493000.0,1060600000.0,1151421000.0,87290000.0,973310000.0,685735000.0,ARA,2024
22798166000.0,15321401000.0,2226202000.0,2066167000.0,14840688000.0,174868000.0,2104451000.0,2463694000.0,13855711000.0,6749317000.0,1077568000.0,1159240000.0,101613000.0,975955000.0,661948000.0,ARA,2023
22170208000.0,15061743000.0,3074012000.0,2124763000.0,14442163000.0,167289000.0,2048312000.0,2320263000.0,13481840000.0,6955587000.0,1027551000.0,1100780000.0,71783000.0,955768000.0,644465000.0,ARA,2022
11454845000.0,1585471000.0,618191000.0,1085725000.0,5501356000.0,281011000.0,2116951000.0,2397962000.0,1610678000.0,3395266000.0,484481000.0,835653000.0,179431000.0,305050000.0,200462000.0,HOTEL,2025
11800472000.0,1135199000.0,279416000.0,951554000.0,5300566000.0,338730000.0,2635968000.0,2974699000.0,1410216000.0,2984782000.0,104369000.0,434371000.0,216367000.0,-111998000.0,80839000.0,HOTEL,2024
11777613000.0,1699349000.0,201743000.0,1371466000.0,5209330000.0,356188000.0,2473829000.0,2830017000.0,1329378000.0,2959207000.0,966573000.0,1273887000.0,249770000.0,716803000.0,521780000.0,HOTEL,2023
12644331000.0,2104622000.0,444223000.0,1429316000.0,5388590000.0,405295000.0,3330627000.0,3735922000.0,807599000.0,2652319000.0,477475000.0,758678000.0,131726000.0,345749000.0,162385000.0,HOTEL,2022
,,,,,,,,,,,,,,,HOTEL,2021
13813010000.0,1457994000.0,694858000.0,1126452000.0,6062316000.0,649954000.0,5130516000.0,6132083000.0,398625000.0,3176528000.0,551728000.0,1035201000.0,682996000.0,-131268000.0,35067000.0,HCITY,2022
14665368000.0,1915122000.0,815520000.0,866088000.0,6306368000.0,391093000.0,5887696000.0,6654204000.0,363558000.0,2273801000.0,82634000.0,584839000.0,564413000.0,-481779000.0,-396345000.0,HCITY,2021
10488015000.0,1371731000.0,214248000.0,940809000.0,5739392000.0,225760000.0,1976320000.0,2206935000.0,4487142000.0,3199915000.0,183384000.0,430757000.0,262777000.0,-79393000.0,32398000.0,CIDMEGA,2025
10651966000.0,1698261000.0,387754000.0,816264000.0,5720606000.0,223341000.0,2266534000.0,2502376000.0,4454744000.0,3213976000.0,511607000.0,733455000.0,267727000.0,243880000.0,308499000.0,CIDMEGA,2024
9463791000.0,1498163000.0,232722000.0,628504000.0,5420875000.0,150514000.0,1513976000.0,1683859000.0,4167000000.0,3272429000.0,318183000.0,553564000.0,282960000.0,35223000.0,111898000.0,CIDMEGA,2023
9738344000.0,1963805000.0,581509000.0,704451000.0,5317675000.0,150476000.0,1821183000.0,1997197000.0,4055861000.0,3379268000.0,573399000.0,803730000.0,241016000.0,332383000.0,265088000.0,CIDMEGA,2022
,,,,,,,,,,,,,,,CIDMEGA,2021
3366702900.0,1414863851.0,154775941.0,569676630.0,1184200930.0,1157453.0,166000000.0,338776831.0,742580200.0,2361130167.0,769976627.0,1520272922.0,386295720.0,383680907.0,621534749.0,VASCONI,2025
4574943223.0,1948764128.0,102797940.0,3723679041.0,614532614.0,1302499301.0,35796919.0,1586468660.0,121045451.0,2578904614.0,-529010417.0,-36639990.0,299896777.0,-828907194.0,-837730515.0,VASCONI,2024
4702909059.0,1999311928.0,100738069.0,3157715688.0,1316333259.0,1897139256.0,62108198.0,2165438624.0,958775966.0,3069162245.0,-218686804.0,65874196.0,276241369.0,-494928173.0,-356655630.0,VASCONI,2023
5480513229.0,2588828280.0,304313599.0,1870152613.0,1850655909.0,494956511.0,1353487127.0,2170189795.0,1315431596.0,4846328061.0,8032887.0,242482402.0,173440843.0,-165407956.0,-236553018.0,VASCONI,2022
,,,,,,,,,,,,,,,VASCONI,2021
