total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year
1361217000000.0,534913000000.0,80493000000.0,114508000000.0,1130814000000.0,1965000000.0,4640000000.0,24850000000.0,1065391000000.0,805158000000.0,186959000000.0,237767000000.0,15419000000.0,171540000000.0,158850000000.0,RICHTER,2023
1353784000000.0,575770000000.0,79719000000.0,179507000000.0,1063401000000.0,1955000000.0,5197000000.0,22378000000.0,979870000000.0,802755000000.0,173693000000.0,222262000000.0,8030000000.0,165663000000.0,169076000000.0,RICHTER,2022
,,,,,,,,,,,,,,,RICHTER,2021
1578150000000.0,389717000000.0,14429000000.0,293304000000.0,894865000000.0,35457000000.0,92432000000.0,270699000000.0,809234000000.0,983939000000.0,272691000000.0,415948000000.0,19070000000.0,253621000000.0,208440000000.0,MTELEKOM,2025
1530073000000.0,341113000000.0,18010000000.0,280132000000.0,823157000000.0,26734000000.0,129242000000.0,303016000000.0,691652000000.0,967478000000.0,214976000000.0,354918000000.0,20753000000.0,194223000000.0,157797000000.0,MTELEKOM,2024
1463831000000.0,285276000000.0,13514000000.0,347184000000.0,723467000000.0,93648000000.0,116701000000.0,346912000000.0,585866000000.0,849372000000.0,128958000000.0,268126000000.0,25002000000.0,103956000000.0,78951000000.0,MTELEKOM,2023
1456417000000.0,241327000000.0,12861000000.0,306924000000.0,691739000000.0,65700000000.0,166592000000.0,373895000000.0,546659000000.0,746669000000.0,101991000000.0,240759000000.0,17596000000.0,84395000000.0,62954000000.0,MTELEKOM,2022
,,,,,,,,,,,,,,,MTELEKOM,2021
222439000000.0,142508000000.0,16004000000.0,104589000000.0,65208000000.0,25350000000.0,35340000000.0,81396000000.0,33316000000.0,477432000000.0,13545000000.0,21211000000.0,5453000000.0,8092000000.0,5712000000.0,AUTOWALLIS,2025
204566000000.0,131449000000.0,24422000000.0,95749000000.0,61903000000.0,37004000000.0,32527000000.0,87303000000.0,29219000000.0,398460000000.0,14371000000.0,20049000000.0,5274000000.0,9097000000.0,6827000000.0,AUTOWALLIS,2024
