total_assets,current_assets,cash,current_liabilities,equity,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year,st_debt,lt_debt
12413000000.0,4164000000.0,291000000.0,3131000000.0,5983000000.0,2756000000.0,5769000000.0,7153000000.0,589000000.0,1204000000.0,148000000.0,441000000.0,226000000.0,ICL,2025,797000000.0,1704000000.0
11321000000.0,3586000000.0,327000000.0,2328000000.0,5724000000.0,2293000000.0,5764000000.0,6841000000.0,782000000.0,1378000000.0,146000000.0,636000000.0,407000000.0,ICL,2024,306000000.0,1723000000.0
11627000000.0,4034000000.0,420000000.0,2638000000.0,5768000000.0,2687000000.0,5583000000.0,7536000000.0,1134000000.0,1670000000.0,160000000.0,974000000.0,647000000.0,ICL,2023,786000000.0,1625000000.0
11750000000.0,4548000000.0,417000000.0,2606000000.0,5464000000.0,2824000000.0,5385000000.0,10015000000.0,3542000000.0,4040000000.0,138000000.0,3404000000.0,2159000000.0,ICL,2022,444000000.0,2110000000.0
,,,,,,,,,,,,,ICL,2021,,
5106030000.0,1379132000.0,379388000.0,887627000.0,3876528000.0,88801000.0,3314498000.0,2945399000.0,704017000.0,903061000.0,0.0,704017000.0,612101000.0,NICE,2025,,
5295906000.0,2504773000.0,481712000.0,1474424000.0,3589742000.0,563603000.0,2702397000.0,2735272000.0,604982000.0,810002000.0,156000.0,604826000.0,442588000.0,NICE,2024,458791000.0,
5117634000.0,2312882000.0,511795000.0,1120321000.0,3341132000.0,782966000.0,2262898000.0,2377508000.0,461401000.0,628761000.0,3701000.0,457700000.0,338301000.0,NICE,2023,209229000.0,457081000.0
4854419000.0,2417133000.0,529596000.0,1141217000.0,3042085000.0,777461000.0,1926398000.0,2181294000.0,349046000.0,525592000.0,3714000.0,345332000.0,265945000.0,NICE,2022,209292000.0,455382000.0
,,,,,,,,,,,,,NICE,2021,395946000.0,429267000.0
8816000000.0,3097000000.0,535000000.0,2998000000.0,3272000000.0,2628000000.0,4232000000.0,7823000000.0,820000000.0,1173000000.0,167000000.0,653000000.0,404000000.0,STRS,2025,500000000.0,1605000000.0
8959000000.0,3582000000.0,1142000000.0,3335000000.0,3279000000.0,2812000000.0,4167000000.0,7089000000.0,1078000000.0,1428000000.0,162000000.0,916000000.0,624000000.0,STRS,2024,845000000.0,1463000000.0
8170000000.0,2539000000.0,517000000.0,2497000000.0,3037000000.0,2630000000.0,3784000000.0,6795000000.0,849000000.0,1181000000.0,128000000.0,721000000.0,488000000.0,STRS,2023,389000000.0,1687000000.0
7412000000.0,2478000000.0,517000000.0,2806000000.0,2483000000.0,2614000000.0,3269000000.0,6105000000.0,238000000.0,545000000.0,87000000.0,151000000.0,64000000.0,STRS,2022,789000000.0,1488000000.0
,,,,,,,,,,,,,STRS,2021,,
3003600000.0,822550000.0,591906000.0,522386000.0,966554000.0,1623550000.0,152071000.0,466590000.0,-1115000.0,90265000.0,-25240000.0,24125000.0,167806000.0,NVPT,2025,294947000.0,1324623000.0
1576449000.0,174331000.0,118829000.0,116128000.0,387863000.0,986859000.0,-15735000.0,98291000.0,-27324000.0,-14091000.0,-43249000.0,15925000.0,1418000.0,NVPT,2024,70746000.0,912891000.0
1127638000.0,115617000.0,86286000.0,80964000.0,311696000.0,674812000.0,-17153000.0,118495000.0,12198000.0,27737000.0,-19379000.0,31577000.0,14674000.0,NVPT,2023,57608000.0,615137000.0
876313000.0,92677000.0,65866000.0,41529000.0,291084000.0,451272000.0,-31827000.0,119319000.0,82899000.0,97780000.0,12583000.0,70316000.0,48802000.0,NVPT,2022,11456000.0,437667000.0
,,,,,,,,,,,,,NVPT,2021,,
16959000000.0,4417000000.0,613000000.0,4038000000.0,3231000000.0,10266000000.0,2692000000.0,6073000000.0,929000000.0,1254000000.0,548000000.0,381000000.0,235000000.0,SPEN,2025,1665000000.0,8244000000.0
15526000000.0,3970000000.0,678000000.0,3350000000.0,3121000000.0,9103000000.0,2587000000.0,5085000000.0,841000000.0,1132000000.0,559000000.0,282000000.0,178000000.0,SPEN,2024,1345000000.0,7387000000.0
14877000000.0,3464000000.0,820000000.0,3674000000.0,2986000000.0,8547000000.0,2405000000.0,5207000000.0,790000000.0,1054000000.0,547000000.0,243000000.0,158000000.0,SPEN,2023,1571000000.0,6644000000.0
14328000000.0,3448000000.0,765000000.0,3299000000.0,2863000000.0,8121000000.0,2316000000.0,4548000000.0,978000000.0,1179000000.0,451000000.0,527000000.0,383000000.0,SPEN,2022,1184000000.0,6615000000.0
,,,,,,,,,,,,,SPEN,2021,,
7047995000.0,1508621000.0,1090485000.0,759109000.0,1992302000.0,4754988000.0,678993000.0,503089000.0,-237169000.0,-133497000.0,237478000.0,-474647000.0,-390604000.0,DORL,2025,571000000.0,3926873000.0
5849849000.0,888625000.0,465323000.0,1166696000.0,1984004000.0,3527759000.0,1067169000.0,310120000.0,-104839000.0,-53163000.0,133218000.0,-238057000.0,20015000.0,DORL,2024,1000279000.0,2323277000.0
4525392000.0,936717000.0,543912000.0,838302000.0,1982659000.0,2087066000.0,1044564000.0,78671000.0,11252000.0,28818000.0,70953000.0,-59701000.0,-41141000.0,DORL,2023,746592000.0,1279378000.0
3343019000.0,792061000.0,387115000.0,273013000.0,1958491000.0,1042153000.0,1083905000.0,46994000.0,1893000.0,9479000.0,56958000.0,-55065000.0,1086586000.0,DORL,2022,234557000.0,779767000.0
,,,,,,,,,,,,,DORL,2021,,
13207471000.0,1610222000.0,956844000.0,2391721000.0,2596469000.0,8008396000.0,306024000.0,762172000.0,60679000.0,323612000.0,167779000.0,-107100000.0,250238000.0,ENRG,2025,1240757000.0,6096897000.0
11170447000.0,741670000.0,463633000.0,2001662000.0,2307423000.0,6172163000.0,276253000.0,897628000.0,351941000.0,573771000.0,157501000.0,194440000.0,337787000.0,ENRG,2024,618598000.0,4916327000.0
9810878000.0,1394608000.0,567667000.0,2048868000.0,2369967000.0,5408140000.0,256405000.0,681906000.0,316198000.0,468951000.0,62999000.0,253199000.0,258257000.0,ENRG,2023,1049097000.0,3844072000.0
6082231000.0,700775000.0,465119000.0,554664000.0,2328630000.0,2851859000.0,234665000.0,527325000.0,275012000.0,380811000.0,39151000.0,235861000.0,236690000.0,ENRG,2022,151884000.0,2311429000.0
,,,,,,,,,,,,,ENRG,2021,,
14625000000.0,4024000000.0,1340000000.0,4744000000.0,4106000000.0,5903000000.0,2228000000.0,14489000000.0,1222000000.0,2208000000.0,266000000.0,956000000.0,711000000.0,SAE,2025,393000000.0,1386000000.0
14922000000.0,3974000000.0,945000000.0,4610000000.0,3936000000.0,6472000000.0,2053000000.0,15644000000.0,1127000000.0,2163000000.0,295000000.0,832000000.0,657000000.0,SAE,2024,340000000.0,1750000000.0
14913000000.0,3316000000.0,683000000.0,4390000000.0,3469000000.0,7029000000.0,1582000000.0,15183000000.0,734000000.0,1701000000.0,291000000.0,443000000.0,312000000.0,SAE,2023,318000000.0,2049000000.0
14547000000.0,3286000000.0,631000000.0,4228000000.0,3135000000.0,7168000000.0,1257000000.0,14662000000.0,305000000.0,1205000000.0,271000000.0,34000000.0,1000000.0,SAE,2022,316000000.0,2264000000.0
,,,,,,,,,,,,,SAE,2021,,
56536000000.0,29650000000.0,2480000000.0,21825000000.0,10083000000.0,15104000000.0,10204000000.0,4148000000.0,2356000000.0,3178000000.0,801000000.0,1555000000.0,3256000000.0,DLEKG,2025,933000000.0,13820000000.0
52353000000.0,8779000000.0,2260000000.0,8322000000.0,8725000000.0,15057000000.0,7983000000.0,4634000000.0,3070000000.0,3545000000.0,833000000.0,2237000000.0,1404000000.0,DLEKG,2024,2154000000.0,12678000000.0
43841000000.0,6731000000.0,1597000000.0,5891000000.0,9524000000.0,14508000000.0,7519000000.0,3799000000.0,2735000000.0,3104000000.0,994000000.0,1741000000.0,1593000000.0,DLEKG,2023,1015000000.0,13333000000.0
43070000000.0,7594000000.0,2159000000.0,7909000000.0,8557000000.0,16858000000.0,7026000000.0,11995000000.0,10478000000.0,13389000000.0,1324000000.0,9154000000.0,3977000000.0,DLEKG,2022,2872000000.0,13779000000.0
,,,,,,,,,,,,,DLEKG,2021,,
4999800000.0,2452100000.0,503900000.0,2224200000.0,1052100000.0,1276500000.0,-25500000.0,3476000000.0,645800000.0,918500000.0,98900000.0,546900000.0,403300000.0,ELAL,2025,144300000.0,531300000.0
4376000000.0,1874200000.0,512800000.0,2060400000.0,545900000.0,1528900000.0,-428800000.0,3432200000.0,796000000.0,1062300000.0,118400000.0,677600000.0,541400000.0,ELAL,2024,182400000.0,650200000.0
3318500000.0,805100000.0,386100000.0,1549000000.0,-187300000.0,1906800000.0,-970100000.0,2503400000.0,253000000.0,501600000.0,127900000.0,125100000.0,112600000.0,ELAL,2023,246200000.0,856800000.0
3188400000.0,594100000.0,283100000.0,1436100000.0,-320900000.0,2092800000.0,-1082800000.0,1985800000.0,107900000.0,318000000.0,122300000.0,-14400000.0,108700000.0,ELAL,2022,293300000.0,890600000.0
,,,,,,,,,,,,,ELAL,2021,,
29682106000.0,1891945000.0,674850000.0,3752714000.0,4591581000.0,22633140000.0,958207000.0,7649687000.0,1276288000.0,2526162000.0,1150028000.0,126260000.0,53303000.0,FTAL,2025,1916406000.0,7641719000.0
28498621000.0,1437073000.0,573657000.0,2902502000.0,4098911000.0,22114661000.0,844152000.0,7444403000.0,1485106000.0,2727614000.0,1135394000.0,349712000.0,278220000.0,FTAL,2024,1186571000.0,6822227000.0
26612815000.0,1502884000.0,886045000.0,2769436000.0,3260581000.0,21312985000.0,132724000.0,6928460000.0,1056371000.0,2205522000.0,1000501000.0,55870000.0,45185000.0,FTAL,2023,976175000.0,5727194000.0
23559200000.0,1587237000.0,829643000.0,2811700000.0,2481392000.0,19249656000.0,47302000.0,5471418000.0,733343000.0,1738677000.0,866998000.0,-133655000.0,-78775000.0,FTAL,2022,1160534000.0,4925268000.0
,,,,,,,,,,,,,FTAL,2021,,
27128000000.0,10506000000.0,2365000000.0,9291000000.0,5898000000.0,13977000000.0,3895000000.0,9300000000.0,1016000000.0,1331000000.0,709000000.0,307000000.0,97000000.0,SKBN,2025,4182000000.0,9710000000.0
29641000000.0,13389000000.0,2744000000.0,13692000000.0,5691000000.0,13275000000.0,3799000000.0,8496000000.0,646000000.0,951000000.0,794000000.0,-148000000.0,-950000000.0,SKBN,2024,5272000000.0,7919000000.0
30037000000.0,12923000000.0,3274000000.0,11714000000.0,6629000000.0,14428000000.0,3204000000.0,7730000000.0,1882000000.0,2180000000.0,646000000.0,1236000000.0,358000000.0,SKBN,2023,4961000000.0,9400000000.0
26120000000.0,13766000000.0,2911000000.0,12088000000.0,4116000000.0,12710000000.0,2627000000.0,6794000000.0,1031000000.0,1304000000.0,714000000.0,317000000.0,54000000.0,SKBN,2022,4282000000.0,8371000000.0
,,,,,,,,,,,,,SKBN,2021,,
10359000000.0,2778000000.0,745000000.0,3286000000.0,3392000000.0,4722000000.0,1346000000.0,,893000000.0,1383000000.0,172000000.0,721000000.0,578000000.0,PAZ,2025,874000000.0,2144000000.0
10491000000.0,2934000000.0,764000000.0,3115000000.0,3253000000.0,5054000000.0,1194000000.0,,995000000.0,1495000000.0,225000000.0,770000000.0,650000000.0,PAZ,2024,770000000.0,2582000000.0
11348000000.0,3674000000.0,1093000000.0,3290000000.0,3171000000.0,5981000000.0,1098000000.0,,634000000.0,1113000000.0,230000000.0,404000000.0,-5000000.0,PAZ,2023,947000000.0,3298000000.0
