country,var_total,sampling_component,reliability_sampling_alone,split_half_correlation,permanent_component,transitory_component,transitory_share
VN,0.0005249514639520666,4.02781237708169e-05,0.9232726708340131,0.054309841729036225,2.8510030922662603e-05,0.000496441433029404,0.9456901582709638
TR,0.00012965056593766317,4.3502878449367594e-05,0.6644605587739273,0.045343943393858346,5.878867922859098e-06,0.00012377169801480406,0.9546560566061415
