,TR,VN
Repricing sensitivity theta,0.045343943393858346,0.054309841729036225
FX sensitivity gamma,0.002633593872928107,0.05871254007638795
Short-term debt share,0.8283868136306367,0.9031067827029078
Export share,0.9345822393577755,
