year,coef,se,p
2018,-0.162,0.1602,0.3119
2019,0.0617,0.1153,0.5927
2020,-0.1212,0.1238,0.3277
2021,-0.0081,0.0712,0.9098
2022,0.0,0.0,
2023,-0.0886,0.1386,0.5226
2024,0.2066,0.1409,0.1426
2025,-0.1989,0.1325,0.1334
