year,coef,se,p
2018,-0.1699,0.4893,0.7285
2019,-0.1298,0.4675,0.7814
2020,0.3722,0.4058,0.3592
2021,0.0983,0.3189,0.7579
2022,0.0,0.0,
2023,0.1424,0.2169,0.5118
2024,0.1233,0.3454,0.7212
2025,0.2679,0.2843,0.3463
