year,coef,se,p
2018,-1.0475,0.5894,0.0759
2019,-0.2006,1.3408,0.8811
2020,-0.7531,0.8498,0.3758
2021,0.5414,1.5289,0.7234
2022,0.0,0.0,
2023,0.5305,0.6023,0.3787
2024,0.1146,0.6308,0.8559
2025,0.0657,0.6059,0.9136
