country,dose_pp,n_firms,rate_pre,rate_post,rate_change_pp,icr_pre,icr_post
TR,33.5,559,0.1776546404397328,0.2835539283645374,10.59,3.3643374660218615,2.45300494134963
PL,5.0,521,0.08983985958857585,0.1057765876052027,1.59,4.716931216931217,2.909512457956785
IL,4.65,274,0.0562784703529049,0.075307952761954,1.9,4.81017641400819,3.291931572393
KR,2.5,290,0.0368666060796035,0.0524570697809703,1.56,6.187078722397597,4.158301129118793
VN,0.8,570,0.0643512944290383,0.0656765406753945,0.13,2.9060119975469916,2.2315507838317905
