country,r_mean,n_firms_median,fisher_ci_lo,fisher_ci_hi,across_split_sd
TR,0.045343943393858346,269,-0.07430049785592362,0.16440715188931426,0.08415406553846765
VN,0.054309841729036225,502,-0.032972393568795985,0.1415421950553936,0.09172331919938123
